Rank,Tier,Page Path,Title,Organic Sessions,Engagement Rate,Avg Eng Time (s),Affiliate Clicks,Conversions,Priority Score,Duplicate?,Recommended Action
18,2 - Priority migrate,/wellness/breast-cancer-beauty-routine,Breast Cancer at 43: Colette’s Story,629,73%,134,59,2,58.9,,Migrate + preserve metadata
19,2 - Priority migrate,/living/lifestyle/best-ai-image-generator-app-review-glam-ai,Best AI Image Generator App? Glam AI Review,1463,48%,48,115,0,58.8,YES,KEEP as canonical; redirect duplicate(s) here
20,2 - Priority migrate,/beauty-style/beauty-tips/rose-marie-swifts-10-beauty-rules-for-older-skin,Rose-Marie Swift’s 10 Beauty Rules For Older Skin,620,68%,124,141,0,58.4,YES,KEEP as canonical; redirect duplicate(s) here
21,2 - Priority migrate,/interviews/models/helena-vestergaard-on-modelling-and-mental-health,Helena Vestergaard On Modelling And Mental Health,934,55%,115,79,0,58.3,YES,KEEP as canonical; redirect duplicate(s) here
22,2 - Priority migrate,/beauty-style/qure-neck-decolletage-led-device,Qure Neck & Décolletage LED Device Review | Beauticate,465,100%,54,50,0,58.3,,Migrate + preserve metadata
23,2 - Priority migrate,/beauty-style/beauty-tips/the-makeup-tools-for-people-with-disabilities,Adaptive Makeup Tools for Enhanced Accessibility,1033,62%,38,92,0,58.1,YES,KEEP as canonical; redirect duplicate(s) here
24,2 - Priority migrate,/how-to/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,"I tried a new DIY micro-infusion device, here’s what I thought…",919,62%,80,52,0,58,YES,CONSOLIDATE -> redirect to /beauty-style/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought
25,2 - Priority migrate,/interviews/tastemakers/princess-diana,Princess Diana,1267,43%,83,112,0,58,YES,KEEP as canonical; redirect duplicate(s) here
26,2 - Priority migrate,/interviews/actors-presenters/abbey-gelmi-the-sports-reporter-making-her-thirties-all-about-finding-balance,"Abbey Gelmi, The Sports Reporter Making Her Thirties All About Finding Balance",1077,55%,89,22,0,57.8,YES,KEEP as canonical; redirect duplicate(s) here
27,2 - Priority migrate,/beauty-style/hair/olaplex-review-is-it-worth-the-hype,Olaplex Review: Is It Worth The Hype?,929,58%,96,34,0,57.6,YES,KEEP as canonical; redirect duplicate(s) here
28,2 - Priority migrate,/who/influencers/stella-kim,Stella Kim: Why I Left The KPOP World To Become A Marketing Professional,612,66%,153,21,0,57.4,YES,CONSOLIDATE -> redirect to /interviews/tastemakers/stella-kim
29,2 - Priority migrate,/interviews/creatives/tamsin-johnson-interior-designer,"Tamsin Johnson, Interior Designer",305,100%,99,73,0,57,YES,KEEP as canonical; redirect duplicate(s) here
30,2 - Priority migrate,/interviews/creatives/darren-palmer-interiors-designer-and-olivier-duvillard,Darren Palmer & Olivier Duvillard,3577,-,43,40,0,56.6,YES,KEEP as canonical; redirect duplicate(s) here
31,2 - Priority migrate,/interviews/tastemakers/stella-kim,Stella Kim: Why I Left The KPOP World To Become A Marketing Professional,2408,-,123,73,0,56.5,YES,KEEP as canonical; redirect duplicate(s) here
32,2 - Priority migrate,/destination/travel,TRAVEL - vacation and holiday destinations,850,64%,42,3,0,56.2,YES,KEEP as canonical; redirect duplicate(s) here
33,2 - Priority migrate,/beauty-style/hair,HAIRSTYLES - short hairstyles and hairstyles for long hair,468,92%,37,2,0,56.1,,Migrate + preserve metadata
34,2 - Priority migrate,/interviews/founders/fiona-myer-entrepreneur,"Fiona Myer, White Story",455,70%,148,21,0,55.9,YES,KEEP as canonical; redirect duplicate(s) here
35,2 - Priority migrate,/interviews/kate-waterhouse-style-beauty,"Kate Waterhouse on Style, Beauty & Confidence",560,73%,75,30,0,55.9,,Migrate + preserve metadata
36,2 - Priority migrate,/wellness/fitness,FITNESS - Women's fitness and exercise plans,355,100%,53,2,0,55.9,,Migrate + preserve metadata
37,2 - Priority migrate,/sigourneys-edit/sensitive-scalp-moogoo-shampoo-review,Moogoo Shampoo Review: Product that Saved My Scalp,922,52%,68,27,0,55.8,,Migrate + preserve metadata
38,2 - Priority migrate,/interviews/models/why-this-model-mum-of-two-doesnt-own-a-hair-dryer,Why This Model Mum-of-Two Doesn't Own A Hair Dryer,698,61%,86,14,0,55.7,YES,KEEP as canonical; redirect duplicate(s) here
39,2 - Priority migrate,/interviews/creatives/dina-broadhurst-artist,"Dina Broadhurst, Artist",839,56%,55,25,0,55.5,YES,KEEP as canonical; redirect duplicate(s) here
40,2 - Priority migrate,/beauty-style/skin-care/the-extreme-beauty-standards-flight-attendants-adhere-to,The Extreme Beauty Standards Flight Attendants Adhere To,943,50%,72,0,0,55.5,YES,KEEP as canonical; redirect duplicate(s) here
41,2 - Priority migrate,/beauty-style/skin-care/la-mer-the-concentrate-reviews,La Mer The Concentrate Reviews: See what our readers had to say.. is La Mer worth it?,694,62%,79,0,0,55.5,YES,KEEP as canonical; redirect duplicate(s) here
42,2 - Priority migrate,/beauty-style/fragrance,Fragrance,366,100%,26,1,0,55.4,YES,KEEP as canonical; redirect duplicate(s) here
43,2 - Priority migrate,/how-to/best-hair-tools-for-fine-hair,Review: The Best Hair Tools for Fine Hair,606,66%,56,78,0,55.4,YES,CONSOLIDATE -> redirect to /beauty-style/hair/best-hair-tools-for-fine-hair
44,2 - Priority migrate,/sigourneys-edit/sigs-slim-aarons-poolside-birthday-all-the-details,Sig's Slim Aarons Poolside Birthday – All The Details,777,61%,43,33,0,55.4,YES,KEEP as canonical; redirect duplicate(s) here
45,2 - Priority migrate,/interviews/tastemakers/rozalia-russian-influencer,"Rozalia Russian, Influencer",747,56%,80,15,0,55.2,YES,KEEP as canonical; redirect duplicate(s) here
46,2 - Priority migrate,/interviews/creatives/rae-morris-interview,"Rae Morris on Beauty, Mistakes and a Career Made by Chance",456,60%,150,75,0,55.1,YES,KEEP as canonical; redirect duplicate(s) here
47,2 - Priority migrate,/beauty-style/makeup/louis-vuitton-makeup-review-australia,Louis Vuitton Makeup Australia Review | Beauticate,682,66%,46,10,0,55.1,,Migrate + preserve metadata
48,2 - Priority migrate,/beauty-style/skin-care,SKIN CARE - The best skin care and cosmetics,704,64%,46,3,0,55,YES,KEEP as canonical; redirect duplicate(s) here
49,2 - Priority migrate,/interviews/models/rebecca-burrow-entrepreneur-and-model,"Rebecca Burrow, Model",701,59%,66,19,0,54.9,,Migrate + preserve metadata
50,2 - Priority migrate,/interviews/actors-presenters/farrah-fawcett-actress,"Farrah Fawcett, Actress",796,47%,85,52,0,54.9,YES,KEEP as canonical; redirect duplicate(s) here
51,3 - Standard migrate,/beauty-style/beauticate-collective-editors-experts,"Meet The Beauticate Collective | Beauty, Wellness & Style Experts",763,49%,62,92,0,54.7,,Migrate + preserve metadata
52,3 - Standard migrate,/how-to/hairstyles/the-best-italian-hair-products-and-secrets-you-need-to-know,The Best Italian Hair Products And Secrets You Need To Know,684,55%,53,97,0,54.7,YES,CONSOLIDATE -> redirect to /beauty-style/hair/the-best-italian-hair-products-and-secrets-you-need-to-know
53,3 - Standard migrate,/interviews/creatives/who-sarah-jagger-make-up-artist,"Sarah Jagger, Makeup Artist",781,45%,102,37,0,54.7,YES,KEEP as canonical; redirect duplicate(s) here
54,3 - Standard migrate,/interviews/founders/olivia-chantecaille-born-into-beauty-now-saving-the-world,"Olivia Chantecaille, Born Into Beauty, Now Saving The World",725,52%,88,7,0,54.6,YES,KEEP as canonical; redirect duplicate(s) here
55,3 - Standard migrate,/living/sustainability,Sustainability,302,100%,45,0,0,54.6,,Migrate + preserve metadata
56,3 - Standard migrate,/interviews/founders/the-glamorous-cosmetic-injector-youll-want-to-fly-to-perth-to-see,The Glamorous Cosmetic Injector You’ll Want to Fly to Perth to See,522,58%,123,42,0,54.5,YES,KEEP as canonical; redirect duplicate(s) here
57,3 - Standard migrate,/interviews/founders/alyce-tran-the-entrepreneur-who-will-persuade-you-to-bring-colour-into-your-home,"Alyce Tran, The Entrepreneur Who Will Persuade You To Bring Colour Into Your Home",652,55%,77,53,0,54.5,YES,KEEP as canonical; redirect duplicate(s) here
58,3 - Standard migrate,/beauty-style/makeup,MAKEUP TUTORIALS - videos and instructions on how to apply makeup,521,75%,43,0,0,54.5,YES,KEEP as canonical; redirect duplicate(s) here
59,3 - Standard migrate,/beauty-style/skin-care/systeme-bio-plus-oil-serum-review,Système Bio+ Oil Serum Review: Real Reader Results,288,100%,32,51,0,54.5,,Migrate + preserve metadata
60,3 - Standard migrate,/beauty-style/hair/5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,"5 Tips From A Spiritual Hair Advisor (Yep, They Exist)",1121,48%,0,0,0,54.4,YES,KEEP as canonical; redirect duplicate(s) here
61,3 - Standard migrate,/how-to/beauty-tips/how-to-choose-the-right-products-for-your-skin,How To Choose The Right Products for your Skin,203,89%,182,0,0,54.1,YES,CONSOLIDATE -> redirect to /beauty-style/beauty-tips/how-to-choose-the-right-products-for-your-skin
62,3 - Standard migrate,/destination/travel/hotels-resorts/city-guides,City Guides,273,100%,47,0,0,54,,Migrate + preserve metadata
63,3 - Standard migrate,/destination/travel/hotels-resorts,Hotels & Resorts,272,100%,42,1,0,53.9,,Migrate + preserve metadata
64,3 - Standard migrate,/interviews/tastemakers/bachelorette-brooke-blurton-on-choosing-real-life-over-picture-perfect,Brooke Blurton at Home Interview: Her Journey and Beauty Loves,632,54%,87,1,0,53.8,YES,KEEP as canonical; redirect duplicate(s) here
65,3 - Standard migrate,/sigourneys-edit/dyson-supersonic-r-hair-dryer-review,Dyson Supersonic R Hair Dryer Review and Features,511,65%,62,17,0,53.6,,Migrate + preserve metadata
66,3 - Standard migrate,/interviews/creatives/melanie-grant-skin-specialist,Melanie Grant Skincare Routine for Radiant Skin,301,70%,166,3,0,53.5,YES,KEEP as canonical; redirect duplicate(s) here
67,3 - Standard migrate,/interviews/founders/anastasia-soare-on-turning-perfect-brows-into-a-global-empire,Anastasia Soare On Turning Perfect Brows Into A Global Empire,644,53%,66,14,0,53.4,YES,KEEP as canonical; redirect duplicate(s) here
68,3 - Standard migrate,/beauty-style/beauty-tips/these-are-the-beauty-brands-working-towards-better-packaging,These Are The Beauty Brands Working Towards Better Packaging,966,47%,5,4,0,53.4,YES,KEEP as canonical; redirect duplicate(s) here
69,3 - Standard migrate,/interviews/actors-presenters/elsa-pataky-on-falling-utterly-in-love-with-byron-bay,Elsa Pataky On Falling Utterly In Love With Byron Bay,566,51%,101,18,0,53.3,YES,KEEP as canonical; redirect duplicate(s) here
70,3 - Standard migrate,/beauty-style/christmas-led-skincare-gift,The Only Christmas Hint I’m Leaving Out This Year: Better Skin,236,100%,49,8,0,53.2,YES,KEEP as canonical; redirect duplicate(s) here
71,3 - Standard migrate,/interviews/creatives/julia-stone-the-musician-all-about-making-meaning,"Julia Stone, The Musician All About Making Meaning",457,52%,139,19,0,53,YES,KEEP as canonical; redirect duplicate(s) here
72,3 - Standard migrate,/interviews/luxury-pool-design-trends-australia-2,The New Pool Rules: 7 Luxury Pool Trends for Australian Homes,438,65%,75,18,0,52.9,,Migrate + preserve metadata
73,3 - Standard migrate,/interviews/creatives/inside-the-la-home-of-maison-louis-marie-founder-marie-du-petit-thouars,Inside the LA Home of Maison Louis Marie Founder Marie du Petit Thouars,450,64%,78,14,0,52.9,YES,KEEP as canonical; redirect duplicate(s) here
74,3 - Standard migrate,/who/creatives/darren-palmer-interiors-designer-and-olivier-duvillard,Darren Palmer & Olivier Duvillard,954,38%,36,6,0,52.9,YES,CONSOLIDATE -> redirect to /interviews/creatives/darren-palmer-interiors-designer-and-olivier-duvillard
75,3 - Standard migrate,/interviews/actors-presenters/grace-kelly-princess-and-actress,Grace Kelly,617,47%,79,36,0,52.8,YES,KEEP as canonical; redirect duplicate(s) here
76,3 - Standard migrate,/interviews/creatives/who-jocelyn-petroni-beauty-therapist,"Jocleyn Petroni, The A-Listers' Facialist Who Is All About Love",328,65%,138,24,0,52.7,YES,KEEP as canonical; redirect duplicate(s) here
77,3 - Standard migrate,/sigourneys-edit/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,"I tried a new DIY micro-infusion device, here’s what I thought…",484,58%,62,25,0,52.3,YES,CONSOLIDATE -> redirect to /beauty-style/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought
78,3 - Standard migrate,/beauty-style/beauty-tips/the-beauty-secrets-epres-vs-olaplex-whats-the-difference,The Beauty Secrets: Epres vs. Olaplex—What's the Difference?,1324,-,136,5,0,52.1,YES,KEEP as canonical; redirect duplicate(s) here
79,3 - Standard migrate,/beauty-style/hair/im-a-hair-bleach-addict-heres-how-i-prevent-the-damage,I'm A Hair Bleach Addict - Here's How I Prevent The Damage,481,56%,63,26,0,51.9,YES,KEEP as canonical; redirect duplicate(s) here
80,3 - Standard migrate,/who/entrepreneurs/the-exact-products-melanie-grant-uses-to-look-flawless,The Exact Products Melanie Grant Uses To Look Flawless,231,67%,162,73,0,51.8,YES,CONSOLIDATE -> redirect to /interviews/founders/the-exact-products-melanie-grant-uses-to-look-flawless
81,3 - Standard migrate,/beauty-style/skin-care/chic-sunscreens-hats,Chic Sunscreens & Sun Hats for Everyday Protection,391,53%,71,149,0,51.8,,Migrate + preserve metadata
82,3 - Standard migrate,/interviews/models/rebecca-harding-model,"Rebecca Harding, Model",405,62%,69,7,0,51.6,YES,KEEP as canonical; redirect duplicate(s) here
83,3 - Standard migrate,/wellness/health/i-spent-a-week-living-like-miranda-kerr-heres-what-happened,"I Spent A Week Living Like Miranda Kerr, Here's What Happened",369,56%,115,2,0,51.4,YES,KEEP as canonical; redirect duplicate(s) here
84,3 - Standard migrate,/beauty-style/beauty-tips/5-french-hair-secrets-for-effortlessly-cool-hair,The Top 5 French Hair Secrets From Those in the Know,395,55%,78,60,1,51.3,YES,KEEP as canonical; redirect duplicate(s) here
85,3 - Standard migrate,/living/sustainability/these-are-the-beauty-brands-working-towards-better-packaging,These Are The Beauty Brands Working Towards Better Packaging,582,53%,14,20,0,51.3,YES,CONSOLIDATE -> redirect to /beauty-style/beauty-tips/these-are-the-beauty-brands-working-towards-better-packaging
86,3 - Standard migrate,/interviews/creatives/the-society-jeweller-with-a-stylish-loungewear-wardrobe,The Society Jeweller With A Stylish Loungewear Wardrobe,415,51%,97,28,0,51.2,YES,KEEP as canonical; redirect duplicate(s) here
87,3 - Standard migrate,/beauty-style/hair/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,Cher From Clueless Hair: The Ultimate Cher Horowitz Hair Tutorial,512,53%,34,22,0,51.1,YES,KEEP as canonical; redirect duplicate(s) here
88,3 - Standard migrate,/beauty-style/beauty-tips,"Beauty tips, makeup tutorials, hairstyles and skin care to health, fitness and healthy recipes",507,50%,55,2,0,50.9,YES,KEEP as canonical; redirect duplicate(s) here
89,3 - Standard migrate,/interviews/creatives/who-bridget-yorston-designer,"Bridget Yorston, Bec & Bridge",449,61%,24,3,0,50.8,YES,KEEP as canonical; redirect duplicate(s) here
90,3 - Standard migrate,/interviews/models/megan-blake-irwin-the-aussie-model-living-her-best-la-life,Megan Blake Irwin LA Interview: A Modeling Journey,250,73%,96,2,0,50.7,YES,KEEP as canonical; redirect duplicate(s) here
91,3 - Standard migrate,/how-to/best-ai-image-generator-app-review-glam-ai,Best AI Image Generator App? Glam AI Review,543,44%,46,35,0,50.7,YES,CONSOLIDATE -> redirect to /living/lifestyle/best-ai-image-generator-app-review-glam-ai
92,3 - Standard migrate,/beauty-style/cosmetic/korean-plastic-surgery,Skull Reshaping? Korean Plastic Surgery and Its Intriguing World,399,57%,67,1,0,50.7,YES,KEEP as canonical; redirect duplicate(s) here
93,3 - Standard migrate,/interviews/creatives/david-mallet-hair-stylist,"David Mallett, Hair Stylist",374,53%,103,1,0,50.6,YES,KEEP as canonical; redirect duplicate(s) here
94,3 - Standard migrate,/wellness/fitness/how-i-stay-fit-with-rebecca-judd,How I Stay Fit With Rebecca Judd,485,48%,68,2,0,50.6,YES,KEEP as canonical; redirect duplicate(s) here
95,3 - Standard migrate,/beauty-style/fragrance/fathers-day-fragrance-gifts,5 Father’s Day Fragrance Gifts to Know,184,100%,17,7,0,50.6,,Migrate + preserve metadata
96,3 - Standard migrate,/interviews/tastemakers/how-fashionista-rozalia-russian-learned-to-be-gentler-with-herself,Rozalia Russian Interview: The Reality of Parenthood,334,58%,102,7,0,50.6,YES,KEEP as canonical; redirect duplicate(s) here
97,3 - Standard migrate,/sigourneys-edit/prevage-2-0-review-sigourney-road-tests-the-antioxidant-all-in-one,Prevage 2.0 Review - Sigourney road tests the Antioxidant All-In-One.,394,53%,87,4,0,50.6,,Migrate + preserve metadata
98,3 - Standard migrate,/destination/beauty-wellness/clinics/aurora-spa-st-kilda,"Aurora Spa, St Kilda",359,64%,40,24,0,50.5,YES,KEEP as canonical; redirect duplicate(s) here
99,3 - Standard migrate,/destination/travel/family-ski-holiday-to-japan,Family Ski Holiday to Japan: Nozawa Onsen & Madarao Guide,251,76%,62,22,0,50.5,YES,KEEP as canonical; redirect duplicate(s) here
100,3 - Standard migrate,/how-to/beauty-tips/the-best-italian-pharmacy-buys-you-can-buy-online,The Best Italian Pharmacy Buys (You Can Find Online).,313,64%,75,24,0,50.5,YES,CONSOLIDATE -> redirect to /beauty-style/beauty-tips/the-best-italian-pharmacy-buys-you-can-buy-online

Money Rank,Page Path,Money Score,Organic Sessions,Affiliate Clicks,Affiliate Clicks / 1k Sessions,Engagement Score,Newsletter Signups (tracking pending),Recovery-List Tier
1,/sacred60shop,91.1,1232,911,739.4,58,—,Not in Top 100
2,/beauty-style/hair/the-best-italian-hair-products-and-secrets-you-need-to-know,51.8,1642,384,233.9,54.6,—,Tier 1
3,/interviews/founders/the-exact-products-melanie-grant-uses-to-look-flawless,42.8,1472,343,233,40.7,—,Tier 1
4,/beauty-style/hair/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,41.1,3516,292,83,33.8,—,Tier 1
5,/beauty-style/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,40.4,3027,269,88.9,40.4,—,Tier 1
6,/beauty-style/hair/best-hair-tools-for-fine-hair,37,1952,236,120.9,36.7,—,Tier 1
7,/how-to/hairstyles/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,35.3,2080,211,101.4,33.3,—,Tier 1
8,/about-beauticate,35,470,194,412.8,56.5,—,Not in Top 100
9,/vodcast,33.8,292,294,1006.8,25,—,Not in Top 100
10,/about,31.9,2414,66,27.3,53.3,—,Not in Top 100
11,/beauty-style/qure-micro-infusion-system-review,30.9,1717,151,87.9,29.1,—,Tier 1
12,/beauty-style/beauty-tips/rose-marie-swifts-10-beauty-rules-for-older-skin,30.2,620,141,227.4,45.2,—,Tier 2
13,/interviews/creatives/sibella-court-interior-stylist-and-author,28.8,1246,112,89.9,34.7,—,Tier 1
14,/living/lifestyle/best-ai-image-generator-app-review-glam-ai,28.4,1463,115,78.6,28.4,—,Tier 2
15,/interviews/tastemakers/princess-diana,28,1267,112,88.4,28.9,—,Tier 2
16,/beauty-style/beauty-tips/the-best-italian-pharmacy-buys-you-can-buy-online,27.9,561,74,131.9,55.5,—,Tier 1
17,/404.html,27.8,3156,10,3.2,50.4,—,Not in Top 100
18,/beauty-style/skin-care/chic-sunscreens-hats,27.7,391,149,381.1,33.1,—,Tier 3
19,/beauty-style/beauty-tips/the-makeup-tools-for-people-with-disabilities,27.2,1033,92,89.1,34.6,—,Tier 2
20,/wellness/breast-cancer-beauty-routine,27.1,629,59,93.8,48.8,—,Tier 2
21,/interviews/creatives/tamsin-johnson-interior-designer,26.8,305,73,239.3,59,—,Tier 2
22,/interviews/models/helena-vestergaard-on-modelling-and-mental-health,26.7,934,79,84.6,37.9,—,Tier 2
23,/how-to/hairstyles/the-best-italian-hair-products-and-secrets-you-need-to-know,26.1,684,97,141.8,32.3,—,Tier 3
24,/beauty-style/qure-neck-decolletage-led-device,26,465,50,107.5,54.9,—,Tier 2
25,/beauty-style/beauticate-collective-editors-experts,25.8,763,92,120.6,30.1,—,Tier 3
26,/how-to/best-hair-tools-for-fine-hair,25.6,606,78,128.7,38,—,Tier 2
27,/interviews/creatives/rae-morris-interview,25.6,456,75,164.5,43.4,—,Tier 2
28,/reviews/luxury-skincare-review,25.6,1924,28,14.6,37.1,—,Tier 1
29,/how-to/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,25.3,919,52,56.6,38.3,—,Tier 2
30,/beauty-style/beauty-tips/how-to-choose-the-right-products-for-your-skin,25.3,570,4,7,63.7,—,Tier 1
31,/top-50-skincare-products,24.9,395,42,106.3,53.2,—,Not in Top 100
32,/beauty-style/beauty-tips/cheek-blush-tattoo,24.7,748,1,1.3,56.1,—,Tier 1
33,/advertise-with-us,24.7,712,10,14,54.2,—,Not in Top 100
34,/interviews/tastemakers/stella-kim,24.7,2408,73,30.3,11.1,—,Tier 2
35,/beauty-style,24.6,2631,9,3.4,32.2,—,Not in Top 100
36,/beauty-style/skin-care/systeme-bio-plus-oil-serum-review,24.6,288,51,177.1,52.9,—,Tier 3
37,/who/entrepreneurs/the-exact-products-melanie-grant-uses-to-look-flawless,24.5,231,73,316,48,—,Tier 3
38,/who/influencers/riley-minford-the-trans-model-owning-her-beauty,24.5,705,4,5.7,54.9,—,Tier 1
39,/living/outdoors/pool-accessories-that-changed-our-lives,24.5,346,101,291.9,31,—,Not in Top 100
40,/beauty-style/beauty-tips/i-got-an-under-eye-concealer-tattoo,24.4,1870,11,5.9,36,—,Tier 1
41,/beauty-style/nightly-beauty-routine,24.3,448,95,212.1,24.9,—,Not in Top 100
42,/beauty-style/hair/olaplex-review-is-it-worth-the-hype,24.2,929,34,36.6,37.5,—,Tier 2
43,/interviews/tastemakers/riley-minford-the-trans-model-owning-her-beauty,24,2509,8,3.2,29.7,—,Tier 1
44,/who/influencers/stella-kim,23.9,612,21,34.3,46.8,—,Tier 2
45,/interviews/founders/alyce-tran-the-entrepreneur-who-will-persuade-you-to-bring-colour-into-your-home,23.9,652,53,81.3,34.4,—,Tier 3
46,/interviews/actors-presenters/nathalie-kelley-the-actress-finding-her-purpose-outside-of-hollywood,23.9,1460,21,14.4,32.7,—,Tier 2
47,/interviews/actors-presenters/farrah-fawcett-actress,23.9,796,52,65.3,31.2,—,Tier 2
48,/news,23.7,1461,1,0.7,38.7,—,Not in Top 100
49,/interviews/actors-presenters/abbey-gelmi-the-sports-reporter-making-her-thirties-all-about-finding-balance,23.6,1077,22,20.4,35.4,—,Tier 2
50,/interviews/founders/the-glamorous-cosmetic-injector-youll-want-to-fly-to-perth-to-see,23.6,522,42,80.5,39.9,—,Tier 3
51,/interviews/kate-waterhouse-style-beauty,23.6,560,30,53.6,43.4,—,Tier 2
52,/beauty-style/beauty-tips/5-french-hair-secrets-for-effortlessly-cool-hair,23.5,395,60,151.9,34.4,—,Tier 3
53,/interviews/founders/fiona-myer-entrepreneur,23.4,455,21,46.2,48.5,—,Tier 2
54,/sigourneys-edit/sigs-slim-aarons-poolside-birthday-all-the-details,23.2,777,33,42.5,34.4,—,Tier 2
55,/interviews,23.1,1383,5,3.6,34.6,—,Not in Top 100
56,/interviews/creatives/who-sarah-jagger-make-up-artist,23.1,781,37,47.4,31.7,—,Tier 3
57,/beauty-style/beauty-tips/three-of-the-best-wisteria-scents,23,966,100,103.5,4.5,—,Not in Top 100
58,/sigourneys-edit/sensitive-scalp-moogoo-shampoo-review,23,922,27,29.3,31.9,—,Tier 2
59,/destinations,22.9,709,0,0,45.6,—,Not in Top 100
60,/interviews/creatives/dina-broadhurst-artist,22.8,839,25,29.8,33.1,—,Tier 2

URL,Traffic (sessions),Traffic Category,Affiliate Clicks,Affiliate Revenue Category,Shop Product Opportunity
/sacred60shop,1232,Medium,911,High,General curated product edit aligned to article topic
